time,norm,position_x,total_energy
0.0,1.0,-1.9999998807907104,2.5
0.25,0.9999881982803345,-1.9378241300582886,2.500000238418579
0.5,0.9999794960021973,-1.755163311958313,2.5000016689300537
0.75,0.9999725222587585,-1.4633737802505493,2.5000009536743164
1.0,0.9999663829803467,-1.0805981159210205,2.499997138977051
1.25,0.9999605417251587,-0.6306352019309998,2.499992847442627
1.5,0.9999552369117737,-0.14146237075328827,2.4999897480010986
1.75,0.9999514818191528,0.356505811214447,2.4999887943267822
2.0,0.9999486804008484,0.8323073983192444,2.4999890327453613
2.25,0.9999464750289917,1.2563591003417969,2.4999914169311523
2.5,0.999944269657135,1.602295994758606,2.4999942779541016
2.75,0.9999407529830933,1.8486093282699585,2.49999737739563
3.0,0.999934196472168,1.9799861907958984,2.4999985694885254
3.14,0.9999285936355591,1.999996542930603,2.4999983310699463
3.25,0.9999234676361084,1.9882569313049316,2.499997138977051
3.5,0.9999097585678101,1.8729088306427002,2.499993085861206
3.75,0.9998946785926819,1.6411114931106567,2.4999871253967285
4.0,0.9998792409896851,1.307278037071228,2.4999828338623047
4.25,0.9998644590377808,0.8921643495559692,2.4999799728393555
4.5,0.9998496770858765,0.42158061265945435,2.4999794960021973
4.75,0.9998339414596558,-0.07521391659975052,2.4999806880950928
5.0,0.9998169541358948,-0.5673322677612305,2.4999825954437256
5.25,0.9997984766960144,-1.0241776704788208,2.499986410140991
5.5,0.9997788667678833,-1.417345404624939,2.4999918937683105
5.75,0.9997593760490417,-1.722390055656433,2.4999964237213135
6.0,0.9997403621673584,-1.9203438758850098,2.4999988079071045
6.25,0.9997239708900452,-1.9988985061645508,2.4999992847442627
6.28,0.9997221827507019,-1.9999891519546509,2.499999523162842
6.5,0.9997116327285767,-1.9531704187393188,2.500000238418579
6.75,0.999702513217926,-1.786002516746521,2.5000011920928955
7.0,0.9996956586837769,-1.5077887773513794,2.5000007152557373
7.25,0.9996893405914307,-1.1358271837234497,2.49999737739563
7.5,0.9996832609176636,-0.6932448744773865,2.499993324279785
7.75,0.9996776580810547,-0.20755943655967712,2.4999897480010986
8.0,0.99967360496521,0.29103097319602966,2.499988079071045
8.25,0.9996708631515503,0.7715258002281189,2.4999890327453613
8.5,0.9996687173843384,1.2040495872497559,2.499990463256836
8.75,0.9996667504310608,1.561711072921753,2.499992847442627
9.0,0.9996634125709534,1.8222724199295044,2.4999964237213135
9.25,0.9996572136878967,1.9695338010787964,2.499998092651367
9.5,0.9996470808982849,1.994340181350708,2.4999969005584717
9.75,0.9996337294578552,1.8951491117477417,2.4999935626983643
10.0,0.9996184706687927,1.6781260967254639,2.499988079071045
10.25,0.9996030330657959,1.3567653894424438,2.499983072280884
10.5,0.9995880722999573,0.9510473608970642,2.4999797344207764
10.75,0.9995733499526978,0.4861985146999359,2.49997878074646
11.0,0.9995579123497009,-0.00887883361428976,2.499979019165039
11.25,0.9995409846305847,-0.5034043192863464,2.4999818801879883
11.5,0.9995229244232178,-0.9666315913200378,2.4999852180480957
11.75,0.9995038509368896,-1.369759202003479,2.499990224838257
12.0,0.9994845390319824,-1.6877222061157227,2.499995231628418
12.25,0.9994659423828125,-1.900749921798706,2.499997854232788
12.5,0.9994494318962097,-1.9955971240997314,2.499998092651367
12.56,0.999445915222168,-1.9999580383300781,2.4999985694885254
