Theta_C_rad,Correlation_E
0.0,0.9999999552965164
0.10649466622338281,0.9774033362045884
0.21298933244676563,0.910634757950902
0.31948399867014843,0.8027116693556309
0.42597866489353126,0.658511396497488
0.5324733311169141,0.4845509007573128
0.6389679973402969,0.2886919379234314
0.7454626635636797,0.07978611439466476
0.8519573297870625,-0.13272549957036972
0.9584519960104453,-0.33923880755901337
1.0649466622338282,-0.5304208695888519
1.171441328457211,-0.6976315155625343
1.2779359946805937,-0.8333139326423407
1.3844306609039765,-0.9313361905515194
1.4909253271273595,-0.9872683694120497
1.5974199933507423,-0.9985826639749575
1.703914659574125,-0.9647679035551846
1.8104093257975078,-0.8873520651832223
1.9169039920208906,-0.7698339484632015
2.0233986582442736,-0.6175246126949787
2.1298933244676563,-0.43730738013982773
2.236387990691039,-0.23732666671276093
2.342882656914422,-0.026620544493198395
2.4493773231378047,0.185288667678833
2.5558719893611874,0.38882412016391754
2.66236665558457,0.5747873596847057
2.768861321807953,0.7347741089761257
2.875355988031336,0.8615540359169245
2.981850654254719,0.9493976356461644
3.0883453204781017,0.9943347015650943
3.1948399867014845,0.9943346927175298
3.3013346529248673,0.9493976728990674
3.40782931914825,0.8615541309118271
3.514323985371633,0.7347741723060608
3.6208186515950156,0.5747874639928341
3.7273133178183984,0.3888242319226265
3.833807984041781,0.18528875708580017
3.940302650265164,-0.026620417833328247
4.046797316488547,-0.23732665181159973
4.15329198271193,-0.437307633459568
4.259786648935313,-0.6175244823098183
4.366281315158695,-0.7698342334479094
4.472775981382078,-0.8873519562184811
4.579270647605461,-0.9647679179906845
4.685765313828844,-0.9985827355267247
4.7922599800522265,-0.9872683103894815
4.898754646275609,-0.9313362054526806
5.005249312498992,-0.8333137575536966
5.111743978722375,-0.6976315900683403
5.218238644945758,-0.5304206386208534
5.32473331116914,-0.3392389118671417
5.431227977392523,-0.1327250897884369
5.537722643615906,0.07978600263595581
5.644217309839289,0.28869230300188065
5.750711976062672,0.48455072194337845
5.857206642286055,0.6585117392241955
5.963701308509438,0.8027115017175674
6.070195974732821,0.9106349255889654
6.1766906409562035,0.9774033236317337
6.283185307179586,1.0000000149011297
