position_x_lambda,intensity_marked,intensity_erased
-200.0,1.0,0.9960656138309666
-199.90231,1.0,0.9953647350494381
-199.80464,1.0,0.9943899190477185
-199.70695,1.0,0.9934806539856105
-199.60928,1.0,0.9925040388530901
-199.5116,1.0,0.9913696477716474
-199.41393,1.0,0.9902525439905081
-199.31624,1.0,0.9889663219140937
-199.21855,1.0,0.9877089641535703
-199.12088,1.0,0.9863849603303391
-199.0232,1.0,0.9848751766961559
-198.92552,1.0,0.9834124833551067
-198.82784,1.0,0.9817529025259875
-198.73016,1.0,0.9801522236748248
-198.63248,1.0,0.9784856027686588
-198.5348,1.0,0.9766061368664507
-198.43712,1.0,0.974649777678278
-198.33943,1.0,0.9727764131761769
-198.24176,1.0,0.971002079091198
-198.14407,1.0,0.9688349087070186
-198.0464,1.0,0.9665926441676755
-197.94872,1.0,0.9642750508039338
-197.85104,1.0,0.9620694728883112
-197.75336,1.0,0.9598006125023476
-197.65567,1.0,0.957271347488738
-197.558,1.0,0.9550737483271017
-197.46031,1.0,0.9522010057766961
-197.36264,1.0,0.9498847422052853
-197.26495,1.0,0.9470802884022318
-197.16728,1.0,0.9444277438172283
-197.0696,1.0,0.9414855391732962
-196.97192,1.0,0.9387065078706888
-196.87424,1.0,0.9356278821782091
-196.77655,1.0,0.9329682192930808
-196.67888,1.0,0.9297606819675701
-196.58119,1.0,0.9267384551145416
-196.48352,1.0,0.9233982514482416
-196.38583,1.0,0.920254778823855
-196.28816,1.0,0.9165142294428381
-196.19048,1.0,0.9135207104595442
-196.09279,1.0,0.9099218230733206
-195.99512,1.0,0.9065408651832285
-195.89743,1.0,0.9028154128563227
-195.79976,1.0,0.8993189977026664
-195.70207,1.0,0.8957678263942032
-195.6044,1.0,0.8918595667333205
-195.50671,1.0,0.88819583241519
-195.40904,1.0,0.8841666398752623
-195.31136,1.0,0.8807092580376754
-195.21367,1.0,0.8765666420342193
-195.116,1.0,0.8726890458200285
-195.01831,1.0,0.8684304249914601
-194.92064,1.0,0.8644468365061787
-194.82295,1.0,0.8600747922140815
-194.72528,1.0,0.8559877928192935
-194.6276,1.0,0.8515051410944863
-194.5299,1.0,0.8473170774825404
-194.43224,1.0,0.8434360394529046
-194.33455,1.0,0.838439618549852
-194.23688,1.0,0.8341065293507461
-194.13919,1.0,0.8297279143200721
-194.04152,1.0,0.8249330742897872
-193.94383,1.0,0.8200862159124358
-193.84616,1.0,0.8155664082254382
-193.74847,1.0,0.8110033431761432
-193.65079,1.0,0.8063974901030205
-193.55312,1.0,0.8013607843146457
-193.45543,1.0,0.7966683382938499
-193.35776,1.0,0.7919350598261836
-193.26007,1.0,0.7867624805508093
-193.1624,1.0,0.7819468331816979
-193.06471,1.0,0.7766862529432411
-192.96703,1.0,0.7717908180342682
-192.86935,1.0,0.7668580707169481
-192.77167,1.0,0.7618887149989858
-192.674,1.0,0.7564649614192044
-192.57631,1.0,0.7514218413384094
-192.47864,1.0,0.7459193953418626
-192.38095,1.0,0.7408051704828968
-192.28328,1.0,0.7352277867773429
-192.1856,1.0,0.7300456642864166
-192.0879,1.0,0.7248320178949372
-191.99023,1.0,0.7191493459259973
-191.89255,1.0,0.7138723388410985
-191.79488,1.0,0.708122551470981
-191.69719,1.0,0.7027855472850295
-191.59952,1.0,0.6965238680905458
-191.50183,1.0,0.6911273361420112
-191.40414,1.0,0.6857049905776391
-191.30647,1.0,0.6798019641971407
-191.20879,1.0,0.6747845012860265
-191.11111,1.0,0.6688288307738351
-191.01343,1.0,0.6628460950765535
-190.91576,1.0,0.6573004699407875
-190.81807,1.0,0.6517332552354119
-190.7204,1.0,0.6456785151945592
-190.62271,1.0,0.6405372251505032
-190.52502,1.0,0.6344402446473708
-190.42735,1.0,0.628321713686168
-190.32967,1.0,0.6221826100553732
-190.232,1.0,0.6169726010370347
-190.13431,1.0,0.6107981014633113
-190.03664,1.0,0.6050827713591831
-189.93895,1.0,0.5993530482086484
-189.84126,1.0,0.5931306761110082
-189.74359,1.0,0.5873736139946093
-189.6459,1.0,0.5816047793049269
-189.54823,1.0,0.5758246413804308
-189.45055,1.0,0.5695512678357418
-189.35287,1.0,0.5632668648370133
-189.25519,1.0,0.5569722537265669
-189.15752,1.0,0.5511538647167843
-189.05983,1.0,0.5453284747414942
-188.96214,1.0,0.539496944254558
-188.86447,1.0,0.5331734297166815
-188.76678,1.0,0.5273316520064885
-188.66911,1.0,0.5209990635915297
-188.57143,1.0,0.515150480473525
-188.47375,1.0,0.5088124555546247
-188.37607,1.0,0.5029607826250272
-188.27838,1.0,0.49759632213859395
-188.18071,1.0,0.49076944209188533
-188.08302,1.0,0.484919372735393
-187.98535,1.0,0.47907137629047547
-187.88766,1.0,0.47273949188322134
-187.79,1.0,0.46689853551535043
-187.6923,1.0,0.4610623116437164
-187.59464,1.0,0.45426022831282753
-187.49695,1.0,0.44892185522300576
-187.39926,1.0,0.44262047781628694
-187.30159,1.0,0.4368121404720653
-187.2039,1.0,0.43052961482721575
-187.10623,1.0,0.4247404421371765
-187.00854,1.0,0.41848056207349354
-186.91087,1.0,0.4127139567415426
-186.81319,1.0,0.40695943687518826
-186.7155,1.0,0.4007399981429841
-186.61783,1.0,0.39501309102326815
-186.52014,1.0,0.3888254890839303
-186.42247,1.0,0.3831297929724543
-186.32478,1.0,0.3779228737657082
-186.22711,1.0,0.3708454060876798
-186.12943,1.0,0.36520348834253197
-186.03175,1.0,0.3600479616982261
-185.93407,1.0,0.3539760908032266
-185.83638,1.0,0.3483922145821742
-185.73871,1.0,0.34236669086106475
