Energy,Power
0.10053096491487339,6.425200383881639e-14
0.10210176124166828,3.2363590662204334e-13
0.10367255756846318,4.3104185599246674e-13
0.10524335389525807,1.7713135604376505e-13
0.10681415022205297,6.848806376818217e-14
0.10838494654884787,3.327913928522487e-13
0.10995574287564278,4.419773054581617e-13
0.11152653920243767,1.6172637550250501e-13
0.11309733552923257,5.549510506193132e-14
0.11466813185602744,3.706104582346867e-13
0.11623892818282235,5.0466157763013e-13
0.11780972450961724,1.9060038934744776e-13
0.11938052083641214,6.556628855924883e-14
0.12095131716320703,4.1356446441505323e-13
0.12252211349000193,5.60900074757299e-13
0.12409290981679683,2.091131639697142e-13
0.12566370614359174,7.409106316747693e-14
0.12723450247038662,4.693388885025136e-13
0.12880529879718153,6.29404152681767e-13
0.1303760951239764,2.1846962861745036e-13
0.13194689145077132,5.117821038464064e-14
0.13351768777756623,4.896197028315396e-13
0.1350884841043611,6.761057884520987e-13
0.13665928043115602,2.340860231652998e-13
0.13823007675795088,7.826390084814604e-14
0.13980087308474579,6.008385463577009e-13
0.1413716694115407,8.118771022482973e-13
0.14294246573833558,2.810438561376004e-13
0.1445132620651305,6.589539931522474e-14
0.14608405839192537,6.43236240976289e-13
0.14765485471872028,8.995936098987911e-13
0.14922565104551516,3.1668780251781064e-13
0.15079644737231007,5.858355187075964e-14
0.15236724369910498,6.732642345169524e-13
0.15393804002589986,9.434780873786143e-13
0.15550883635269477,3.1237209510280276e-13
0.15707963267948966,8.153874995920151e-14
0.15865042900628457,8.243837234919547e-13
0.16022122533307945,1.1288504967156237e-12
0.16179202165987436,3.7484855647443205e-13
0.16336281798666927,7.982975154721889e-14
0.16493361431346412,9.234419580346988e-13
0.16650441064025903,1.290868151179332e-12
0.16807520696705394,4.400337681629853e-13
0.16964600329384882,7.454716244575318e-14
0.17121679962064373,9.87705293937123e-13
0.17278759594743862,1.3849507803996177e-12
0.17435839227423353,4.4660183833312424e-13
0.1759291886010284,1.0010440311009405e-13
0.17749998492782332,1.208370975385607e-12
0.17907078125461823,1.681126242373586e-12
0.1806415775814131,5.650163537936892e-13
0.18221237390820802,8.655135310932689e-14
0.1837831702350029,1.2876839752068538e-12
0.1853539665617978,1.820649349408563e-12
0.1869247628885927,5.906654363943132e-13
0.18849555921538758,1.1165491106124598e-13
0.19006635554218249,1.54582594013026e-12
0.19163715186897737,2.180391450684144e-12
0.19320794819577228,7.393760366244245e-13
0.19477874452256716,1.0864094933072658e-13
