# Validacion de Hipótesis (Born)
# Parametros: N_waves=1000000, Sigma=0.05, Lambda0=0.0, Seed=12345
# Metricas: MAE=2.173564e-05, R2=1.00000000
# Alpha_Rad,Intensity_Sim,Malus_Theoretical
2.432765245437622070e+00,5.763056874275207520e-01,5.762718319892883301e-01
2.450267314910888672e+00,5.935525298118591309e-01,5.935187935829162598e-01
2.467769145965576172e+00,6.106845140457153320e-01,6.106508970260620117e-01
2.485270977020263672e+00,6.276808977127075195e-01,6.276475787162780762e-01
2.502773046493530273e+00,6.445209980010986328e-01,6.444880366325378418e-01
2.520274877548217773e+00,6.611836552619934082e-01,6.611512303352355957e-01
2.537776708602905273e+00,6.776491403579711914e-01,6.776170134544372559e-01
2.555278778076171875e+00,6.938971281051635742e-01,6.938653588294982910e-01
2.572780609130859375e+00,7.099072933197021484e-01,7.098761200904846191e-01
2.590282440185546875e+00,7.256602644920349121e-01,7.256295680999755859e-01
2.607784509658813477e+00,7.411369085311889648e-01,7.411069273948669434e-01
2.625286340713500977e+00,7.563182115554809570e-01,7.562886476516723633e-01
2.642788171768188477e+00,7.711851596832275391e-01,7.711564302444458008e-01
2.660290241241455078e+00,7.857202291488647461e-01,7.856921553611755371e-01
2.677792072296142578e+00,7.999051809310913086e-01,7.998775839805603027e-01
2.695293903350830078e+00,8.137223720550537109e-01,8.136957287788391113e-01
2.712795972824096680e+00,8.271558284759521484e-01,8.271297812461853027e-01
2.730297803878784180e+00,8.401879072189331055e-01,8.401627540588378906e-01
2.747799634933471680e+00,8.528035283088684082e-01,8.527790307998657227e-01
2.765301704406738281e+00,8.649867773056030273e-01,8.649632334709167480e-01
2.782803535461425781e+00,8.767229318618774414e-01,8.767001628875732422e-01
2.800305366516113281e+00,8.879973888397216797e-01,8.879756331443786621e-01
2.817807435989379883e+00,8.987967371940612793e-01,8.987758755683898926e-01
2.835309267044067383e+00,9.091072082519531250e-01,9.090874195098876953e-01
2.852811098098754883e+00,9.189167022705078125e-01,9.188978075981140137e-01
2.870313167572021484e+00,9.282128810882568359e-01,9.281951785087585449e-01
2.887814998626708984e+00,9.369843602180480957e-01,9.369676709175109863e-01
2.905316829681396484e+00,9.452207684516906738e-01,9.452049136161804199e-01
2.922818899154663086e+00,9.529113173484802246e-01,9.528968334197998047e-01
2.940320730209350586e+00,9.600472450256347656e-01,9.600337147712707520e-01
2.957822561264038086e+00,9.666193723678588867e-01,9.666070342063903809e-01
2.975324630737304688e+00,9.726201891899108887e-01,9.726087450981140137e-01
2.992826461791992188e+00,9.780415892601013184e-01,9.780314564704895020e-01
3.010328292846679688e+00,9.828774333000183105e-01,9.828684329986572266e-01
3.027830362319946289e+00,9.871217608451843262e-01,9.871138930320739746e-01
3.045332193374633789e+00,9.907692074775695801e-01,9.907625913619995117e-01
3.062834024429321289e+00,9.938154816627502441e-01,9.938098788261413574e-01
3.080335855484008789e+00,9.962566494941711426e-01,9.962522387504577637e-01
3.097837924957275391e+00,9.980899095535278320e-01,9.980867505073547363e-01
3.115339756011962891e+00,9.993128776550292969e-01,9.993109703063964844e-01
3.132841587066650391e+00,9.999241232872009277e-01,9.999234676361083984e-01
3.150343656539916992e+00,9.999230504035949707e-01,9.999234676361083984e-01
3.167845487594604492e+00,9.993093013763427734e-01,9.993109703063964844e-01
3.185347318649291992e+00,9.980839490890502930e-01,9.980867505073547363e-01
3.202849388122558594e+00,9.962483644485473633e-01,9.962523579597473145e-01
3.220351219177246094e+00,9.938046932220458984e-01,9.938098788261413574e-01
3.237853050231933594e+00,9.907562732696533203e-01,9.907625913619995117e-01
3.255355119705200195e+00,9.871065020561218262e-01,9.871138930320739746e-01
3.272856950759887695e+00,9.828595519065856934e-01,9.828684329986572266e-01
3.290358781814575195e+00,9.780215620994567871e-01,9.780314564704895020e-01
3.307860851287841797e+00,9.725977182388305664e-01,9.726087450981140137e-01
3.325362682342529297e+00,9.665949940681457520e-01,9.666070342063903809e-01
3.342864513397216797e+00,9.600203633308410645e-01,9.600337147712707520e-01
3.360366582870483398e+00,9.528824687004089355e-01,9.528967142105102539e-01
3.377868413925170898e+00,9.451895356178283691e-01,9.452049136161804199e-01
3.395370244979858398e+00,9.369512200355529785e-01,9.369676709175109863e-01
3.412872314453125000e+00,9.281772971153259277e-01,9.281950592994689941e-01
3.430374145507812500e+00,9.188793301582336426e-01,9.188978075981140137e-01
3.447875976562500000e+00,9.090679287910461426e-01,9.090875387191772461e-01
3.465378046035766602e+00,8.987552523612976074e-01,8.987758159637451172e-01
3.482879877090454102e+00,8.879542946815490723e-01,8.879757523536682129e-01
3.500381708145141602e+00,8.766781091690063477e-01,8.767002820968627930e-01
3.517883777618408203e+00,8.649398088455200195e-01,8.649631142616271973e-01
3.535385608673095703e+00,8.527549505233764648e-01,8.527790307998657227e-01
3.552887439727783203e+00,8.401377797126770020e-01,8.401627540588378906e-01
3.570389509201049805e+00,8.271038532257080078e-01,8.271295428276062012e-01
3.587891340255737305e+00,8.136692643165588379e-01,8.136957287788391113e-01
3.605393171310424805e+00,7.998505830764770508e-01,7.998777031898498535e-01
3.622895240783691406e+00,7.856638431549072266e-01,7.856919169425964355e-01
3.640397071838378906e+00,7.711277604103088379e-01,7.711564302444458008e-01
3.657898902893066406e+00,7.562595605850219727e-01,7.562887668609619141e-01
3.675400972366333008e+00,7.410768866539001465e-01,7.411068081855773926e-01
3.692902803421020508e+00,7.255991697311401367e-01,7.256296873092651367e-01
3.710404634475708008e+00,7.098451256752014160e-01,7.098761200904846191e-01
3.727906703948974609e+00,6.938338279724121094e-01,6.938652992248535156e-01
3.745408535003662109e+00,6.775852441787719727e-01,6.776170730590820312e-01
3.762910366058349609e+00,6.611189842224121094e-01,6.611513495445251465e-01
3.780412435531616211e+00,6.444553136825561523e-01,6.444878578186035156e-01
3.797914266586303711e+00,6.276147365570068359e-01,6.276476383209228516e-01
3.815416097640991211e+00,6.106177568435668945e-01,6.106510162353515625e-01
3.832918167114257812e+00,5.934851765632629395e-01,5.935186147689819336e-01
3.850419998168945312e+00,5.762380957603454590e-01,5.762718319892883301e-01
3.867921829223632812e+00,5.588977932929992676e-01,5.589317083358764648e-01
3.885423898696899414e+00,5.414851307868957520e-01,5.415190458297729492e-01
3.902925729751586914e+00,5.240218043327331543e-01,5.240558385848999023e-01
3.920427560806274414e+00,5.065289139747619629e-01,5.065630674362182617e-01
3.937929391860961914e+00,4.890282452106475830e-01,4.890623390674591064e-01
3.955431461334228516e+00,4.715406596660614014e-01,4.715747237205505371e-01
3.972933292388916016e+00,4.540881514549255371e-01,4.541221857070922852e-01
3.990435123443603516e+00,4.366919398307800293e-01,4.367257654666900635e-01
4.007936954498291016e+00,4.193733036518096924e-01,4.194069802761077881e-01
4.025439262390136719e+00,4.021529555320739746e-01,4.021863937377929688e-01
4.042941093444824219e+00,3.850530087947845459e-01,3.850862085819244385e-01
4.060442924499511719e+00,3.680937290191650391e-01,3.681266903877258301e-01
4.077944755554199219e+00,3.512962460517883301e-01,3.513288497924804688e-01
4.095446586608886719e+00,3.346807956695556641e-01,3.347130417823791504e-01
4.112948417663574219e+00,3.182680010795593262e-01,3.182998299598693848e-01
4.130450725555419922e+00,3.020773530006408691e-01,3.021087050437927246e-01
4.147952556610107422e+00,2.861296534538269043e-01,2.861605584621429443e-01
4.165454387664794922e+00,2.704439461231231689e-01,2.704743146896362305e-01
4.182956218719482422e+00,2.550395131111145020e-01,2.550693154335021973e-01
4.200458049774169922e+00,2.399351745843887329e-01,2.399643361568450928e-01
4.217959880828857422e+00,2.251494228839874268e-01,2.251779735088348389e-01
4.235462188720703125e+00,2.107000201940536499e-01,2.107278853654861450e-01
4.252964019775390625e+00,1.966054141521453857e-01,1.966326236724853516e-01
4.270465850830078125e+00,1.828825622797012329e-01,1.829090267419815063e-01
4.287967681884765625e+00,1.695481985807418823e-01,1.695738881826400757e-01
4.305469512939453125e+00,1.566187143325805664e-01,1.566435694694519043e-01
4.322971343994140625e+00,1.441098749637603760e-01,1.441339105367660522e-01
4.340473651885986328e+00,1.320367455482482910e-01,1.320599168539047241e-01
4.357975482940673828e+00,1.204147562384605408e-01,1.204370260238647461e-01
4.375477313995361328e+00,1.092578023672103882e-01,1.092791557312011719e-01
4.392979145050048828e+00,9.857955574989318848e-02,9.859995543956756592e-02
4.410480976104736328e+00,8.839310705661773682e-02,8.841253072023391724e-02
4.427982807159423828e+00,7.871092855930328369e-02,7.872936129570007324e-02
4.445484638214111328e+00,6.954490393400192261e-02,6.956229358911514282e-02
4.462986946105957031e+00,6.090599671006202698e-02,6.092235073447227478e-02
4.480488777160644531e+00,5.280527472496032715e-02,5.282057449221611023e-02
4.497990608215332031e+00,4.525243118405342102e-02,4.526665434241294861e-02
4.515492439270019531e+00,3.825670853257179260e-02,3.826983645558357239e-02
4.532994270324707031e+00,3.182668611407279968e-02,3.183870390057563782e-02
4.550496101379394531e+00,2.597024291753768921e-02,2.598112635314464569e-02
4.567998409271240234e+00,2.069440670311450958e-02,2.070415019989013672e-02
4.585500240325927734e+00,1.600593328475952148e-02,1.601452566683292389e-02
4.603002071380615234e+00,1.191042084246873856e-02,1.191784720867872238e-02
4.620503902435302734e+00,8.412880823016166687e-03,8.419133722782135010e-03
4.638005733489990234e+00,5.517597310245037079e-03,5.522671155631542206e-03
4.655507564544677734e+00,3.228123066946864128e-03,3.232007380574941635e-03
4.673009872436523438e+00,1.547220861539244652e-03,1.549912733025848866e-03
4.690511703491210938e+00,4.770428349729627371e-04,4.785389173775911331e-04
4.708013534545898438e+00,1.884601624624338001e-05,1.914440326800104231e-05
4.725515365600585938e+00,1.731918600853532553e-04,1.722920860629528761e-04
4.743017196655273438e+00,9.398910915479063988e-04,9.377943933941423893e-04
4.760519027709960938e+00,2.318004611879587173e-03,2.314713317900896072e-03
4.778021335601806641e+00,4.305906128138303757e-03,4.301424603909254074e-03
4.795523166656494141e+00,6.901052780449390411e-03,6.895385216921567917e-03
4.813024997711181641e+00,1.010030973702669144e-02,1.009346451610326767e-02
4.830526828765869141e+00,1.389976032078266144e-02,1.389174256473779678e-02
4.848028659820556641e+00,1.829474419355392456e-02,1.828557066619396210e-02
4.865530490875244141e+00,2.327988855540752411e-02,2.326955646276473999e-02
4.883032798767089844e+00,2.884922735393047333e-02,2.883776277303695679e-02
4.900534629821777344e+00,3.499565273523330688e-02,3.498305752873420715e-02
4.918036460876464844e+00,4.171175882220268250e-02,4.169806465506553650e-02
4.935538291931152344e+00,4.898932948708534241e-02,4.897455126047134399e-02
4.953040122985839844e+00,5.681946873664855957e-02,5.680359899997711182e-02
4.970541954040527344e+00,6.519253551959991455e-02,6.517561525106430054e-02
4.988044261932373047e+00,7.409856468439102173e-02,7.408061623573303223e-02
5.005546092987060547e+00,8.352613449096679688e-02,8.350717276334762573e-02
5.023047924041748047e+00,9.346391260623931885e-02,9.344400465488433838e-02
5.040549755096435547e+00,1.038998067378997803e-01,1.038788929581642151e-01
5.058051586151123047e+00,1.148209422826766968e-01,1.147990971803665161e-01
5.075553417205810547e+00,1.262139976024627686e-01,1.261912286281585693e-01
5.093055725097656250e+00,1.380652934312820435e-01,1.380416452884674072e-01
5.110557556152343750e+00,1.503596752882003784e-01,1.503352075815200806e-01
5.128059387207031250e+00,1.630824506282806396e-01,1.630571484565734863e-01
5.145561218261718750e+00,1.762180179357528687e-01,1.761918663978576660e-01
5.163063049316406250e+00,1.897501796483993530e-01,1.897232979536056519e-01
5.180564880371093750e+00,2.036624699831008911e-01,2.036348879337310791e-01
5.198067188262939453e+00,2.179382443428039551e-01,2.179099470376968384e-01
5.215569019317626953e+00,2.325591593980789185e-01,2.325302064418792725e-01
5.233070850372314453e+00,2.475077062845230103e-01,2.474781423807144165e-01
5.250572681427001953e+00,2.627656757831573486e-01,2.627354860305786133e-01
5.268074512481689453e+00,2.783142030239105225e-01,2.782834470272064209e-01
5.285576343536376953e+00,2.941342890262603760e-01,2.941031157970428467e-01
5.303078174591064453e+00,3.102067112922668457e-01,3.101750016212463379e-01
5.320580482482910156e+00,3.265119791030883789e-01,3.264798820018768311e-01
5.338082313537597656e+00,3.430294692516326904e-01,3.429969251155853271e-01
5.355584144592285156e+00,3.597392439842224121e-01,3.597063422203063965e-01
5.373085975646972656e+00,3.766209185123443604e-01,3.765875697135925293e-01
5.390587806701660156e+00,3.936536312103271484e-01,3.936200439929962158e-01
5.408089637756347656e+00,4.108165502548217773e-01,4.107828438282012939e-01
5.425591945648193359e+00,4.280893802642822266e-01,4.280554056167602539e-01
5.443093776702880859e+00,4.454496800899505615e-01,4.454156160354614258e-01
5.460595607757568359e+00,4.628769159317016602e-01,4.628427028656005859e-01
5.478097438812255859e+00,4.803496003150939941e-01,4.803153574466705322e-01
5.495599269866943359e+00,4.978464841842651367e-01,4.978120923042297363e-01
5.513101100921630859e+00,5.153458714485168457e-01,5.153115987777709961e-01
5.530603408813476562e+00,5.328269004821777344e-01,5.327927470207214355e-01
5.548105239868164062e+00,5.502673387527465820e-01,5.502331852912902832e-01
5.565607070922851562e+00,5.676461458206176758e-01,5.676121115684509277e-01
5.583108901977539062e+00,5.849421024322509766e-01,5.849083065986633301e-01
5.600610733032226562e+00,6.021341085433959961e-01,6.021003723144531250e-01
5.618112564086914062e+00,6.192007660865783691e-01,6.191673874855041504e-01
5.635614871978759766e+00,6.361218690872192383e-01,6.360889077186584473e-01
5.653116703033447266e+00,6.528759598731994629e-01,6.528431177139282227e-01
5.670618534088134766e+00,6.694425344467163086e-01,6.694101691246032715e-01
5.688120365142822266e+00,6.858015656471252441e-01,6.857696771621704102e-01
5.705622196197509766e+00,7.019328474998474121e-01,7.019014954566955566e-01
5.723124027252197266e+00,7.178170680999755859e-01,7.177860736846923828e-01
5.740626335144042969e+00,7.334346175193786621e-01,7.334042191505432129e-01
5.758128166198730469e+00,7.487658262252807617e-01,7.487359642982482910e-01
5.775629997253417969e+00,7.637922763824462891e-01,7.637630105018615723e-01
5.793131828308105469e+00,7.784956097602844238e-01,7.784668803215026855e-01
5.810633659362792969e+00,7.928574681282043457e-01,7.928295731544494629e-01
5.828135490417480469e+00,8.068606257438659668e-01,8.068335652351379395e-01
5.845637798309326172e+00,8.204885125160217285e-01,8.204619288444519043e-01
5.863139629364013672e+00,8.337230086326599121e-01,8.336974382400512695e-01
5.880641460418701172e+00,8.465487957000732422e-01,8.465239405632019043e-01
5.898143291473388672e+00,8.589500188827514648e-01,8.589261174201965332e-01
5.915645122528076172e+00,8.709115982055664062e-01,8.708884119987487793e-01
5.933146953582763672e+00,8.824185132980346680e-01,8.823963403701782227e-01
5.950649261474609375e+00,8.934574127197265625e-01,8.934360742568969727e-01
5.968151092529296875e+00,9.040140509605407715e-01,9.039935469627380371e-01
5.985652923583984375e+00,9.140753746032714844e-01,9.140560626983642578e-01
6.003154754638671875e+00,9.236296415328979492e-01,9.236113429069519043e-01
6.020656585693359375e+00,9.326648116111755371e-01,9.326475858688354492e-01
6.038158416748046875e+00,9.411699771881103516e-01,9.411537647247314453e-01
6.055660724639892578e+00,9.491349458694458008e-01,9.491196870803833008e-01
6.073162555694580078e+00,9.565492272377014160e-01,9.565351605415344238e-01
6.090664386749267578e+00,9.634042978286743164e-01,9.633913040161132812e-01
6.108166217803955078e+00,9.696918129920959473e-01,9.696797728538513184e-01
6.125668048858642578e+00,9.754037261009216309e-01,9.753927588462829590e-01
6.143169879913330078e+00,9.805331826210021973e-01,9.805235266685485840e-01
6.160671710968017578e+00,9.850737452507019043e-01,9.850654006004333496e-01
6.178174018859863281e+00,9.890205264091491699e-01,9.890131354331970215e-01
6.195675849914550781e+00,9.923678040504455566e-01,9.923616647720336914e-01
6.213177680969238281e+00,9.951117038726806641e-01,9.951069951057434082e-01
6.230679512023925781e+00,9.972494244575500488e-01,9.972456693649291992e-01
6.248181343078613281e+00,9.987778067588806152e-01,9.987752437591552734e-01
6.265683174133300781e+00,9.996950626373291016e-01,9.996936321258544922e-01
6.283185482025146484e+00,1.000000000000000000e+00,1.000000000000000000e+00
