sigma,vis_sim,vis_teo
0.05,0.9974934718161598,0.9975031223974601
0.1517241379310345,0.97736823289948,0.9772427295588743
0.253448275862069,0.9371772566490931,0.9377836297083898
0.35517241379310344,0.8809523363850393,0.8814848679699598
0.45689655172413796,0.8131395178218461,0.8115944909209689
0.5586206896551725,0.7333686031059794,0.7319397516400755
0.6603448275862069,0.6462459526360051,0.6465819745763085
0.7620689655172415,0.5597381325192005,0.5594790991632432
0.863793103448276,0.47241473216190283,0.47419411037110976
0.9655172413793105,0.39276734098488536,0.3936773777155839
1.067241379310345,0.3212687768320874,0.3201376684773194
1.1689655172413795,0.25700470778631074,0.2550028951141323
1.2706896551724138,0.19856036414473524,0.1989598566940978
1.3724137931034484,0.1532265638882175,0.15205399065907746
1.4741379310344829,0.11412140534599617,0.11382619039338629
1.5758620689655174,0.08374582014816187,0.08346388460377062
1.677586206896552,0.05727358931935253,0.0599469375887671
1.7793103448275864,0.042873648943133565,0.04217425550562051
1.881034482758621,0.029594133206326926,0.029062961234473692
1.9827586206896555,0.023093177491810536,0.019617529544830627
2.0844827586206898,0.01295791155214839,0.012970621403264717
2.1862068965517243,0.006460553977254673,0.008400193022479085
2.287931034482759,0.006660575893882061,0.00532880420077973
2.3896551724137933,0.003709975326254841,0.003311176074963668
2.4913793103448274,0.003365060400419826,0.0020153329368744048
2.593103448275862,0.0037759057064419435,0.001201498809707683
2.6948275862068964,0.003049151222443414,0.0007016360614299946
2.796551724137931,0.00045660154466400373,0.00040134002561635634
2.8982758620689655,0.0012777876844614169,0.00022486665572762983
3.0,0.0022799753234364808,0.00012340980408667956
